series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
ecommerce_gmv.tokopedia,0000,Indonesia (national),2026-02-01,M,monthly,8.55,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2026-03-01,M,monthly,7.6,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2026-04-01,M,monthly,6.57,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2026-05-01,M,monthly,5.94,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-01-01,M,monthly,234.86,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-02-01,M,monthly,234.13,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-03-01,M,monthly,303.85,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-04-01,M,monthly,253.58,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-05-01,M,monthly,349.36,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-06-01,M,monthly,311.19,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-07-01,M,monthly,287.34,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-08-01,M,monthly,288.81,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-09-01,M,monthly,288.07,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-10-01,M,monthly,508.99,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-11-01,M,monthly,395.23,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2024-12-01,M,monthly,388.99,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-01-01,M,monthly,331.74,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-02-01,M,monthly,325.5,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-03-01,M,monthly,378.35,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-04-01,M,monthly,336.88,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-05-01,M,monthly,413.58,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-06-01,M,monthly,414.68,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-07-01,M,monthly,463.85,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-08-01,M,monthly,517.43,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-09-01,M,monthly,544.59,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-10-01,M,monthly,617.25,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-11-01,M,monthly,571.01,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2025-12-01,M,monthly,619.45,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2026-01-01,M,monthly,397.43,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2026-02-01,M,monthly,397.06,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2026-03-01,M,monthly,422.75,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2026-04-01,M,monthly,402.2,USD million
ecommerce_gmv.total_market,0000,Indonesia (national),2026-05-01,M,monthly,413.94,USD million
