series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2025-05-01,M,monthly,3183819.6522,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2025-06-01,M,monthly,3293847.4422,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2025-07-01,M,monthly,3245930.1222,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2025-08-01,M,monthly,3274585.8045,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2025-09-01,M,monthly,3337563.7681,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2025-10-01,M,monthly,3354160.585,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2025-11-01,M,monthly,3439273.2903,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2025-12-01,M,monthly,3624160.585,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2026-01-01,M,monthly,3609781.3972,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2026-02-01,M,monthly,3618153.7003,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2026-03-01,M,monthly,3701258.3239,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2026-04-01,M,monthly,3618734.0796,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2026-05-01,M,monthly,3683353.3729,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2026-06-01,M,monthly,3666921.1352,IDR billion
bi_seki.deposits_by_owner.private_nonfinancial_business,0000,Indonesia (national),2026-07-01,M,monthly,3658779.6168,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-01-01,M,monthly,401246.2294,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-02-01,M,monthly,374964.8783,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-03-01,M,monthly,378905.448,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-04-01,M,monthly,361331.2396,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-05-01,M,monthly,360703.5268,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-06-01,M,monthly,379113.3076,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-07-01,M,monthly,388089.0466,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-08-01,M,monthly,352802.8888,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-09-01,M,monthly,392008.663,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-10-01,M,monthly,383477.3296,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-11-01,M,monthly,374831.1443,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2025-12-01,M,monthly,478735.4176,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2026-01-01,M,monthly,476054.3517,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2026-02-01,M,monthly,456120.6274,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2026-03-01,M,monthly,448080.9483,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2026-04-01,M,monthly,427483.4578,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2026-05-01,M,monthly,437265.5299,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2026-06-01,M,monthly,428973.2214,IDR billion
bi_seki.deposits_by_owner.state_nonfinancial_business,0000,Indonesia (national),2026-07-01,M,monthly,395383.0916,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-01-01,M,monthly,8563286.3868,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-02-01,M,monthly,8651247.2704,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-03-01,M,monthly,8723974.0114,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-04-01,M,monthly,8737690.5637,IDR billion
