series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-03-01,M,monthly,113.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-04-01,M,monthly,113.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-05-01,M,monthly,123.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-06-01,M,monthly,128.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-07-01,M,monthly,120.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-08-01,M,monthly,113.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-09-01,M,monthly,113.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-10-01,M,monthly,110.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-11-01,M,monthly,112.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-12-01,M,monthly,117.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-01-01,M,monthly,113.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-02-01,M,monthly,112.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-03-01,M,monthly,110.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-04-01,M,monthly,114.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-05-01,M,monthly,115.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-06-01,M,monthly,116.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-07-01,M,monthly,113.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-08-01,M,monthly,113.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-09-01,M,monthly,111.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-10-01,M,monthly,109.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-11-01,M,monthly,113.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2019-12-01,M,monthly,117.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-01-01,M,monthly,113.7,index
