series_id,geo_id,geo_name,ref_date,value,unit
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-04-01,592935.41,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-05-01,675635.19,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-06-01,625354.1,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-07-01,619652.4,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-08-01,622452.15,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-09-01,614230.66,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-10-01,611081.3,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-11-01,622383.57,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2019-12-01,654683.31,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-01-01,616226.76,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-02-01,607961.8,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-03-01,620399.67,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-04-01,634191.76,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-05-01,684962.67,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-06-01,651792.19,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-07-01,668184.78,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-08-01,666739.26,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-09-01,674412.32,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-10-01,707830.54,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-11-01,712556.11,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2020-12-01,760112.42,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-01-01,712529.24,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-02-01,698226.62,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-03-01,692478.03,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-04-01,732643.55,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-05-01,743534.2,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-06-01,739006.37,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-07-01,758702.97,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-08-01,750510.11,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-09-01,748616.24,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-10-01,766703.91,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-11-01,775051.3408657118,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2021-12-01,831233.71,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-01-01,765015.11,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-02-01,795951.08,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-03-01,792518.36,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-04-01,896317.73,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-05-01,820154.68,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-06-01,815316.13,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-07-01,822042.79,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-08-01,805459.05,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-09-01,807817.51,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-10-01,808648.98,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-11-01,840492.4,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2022-12-01,897799.0,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-01-01,830372.89337,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-02-01,813834.00501,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-03-01,832817.0,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-04-01,895719.17472,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-05-01,859516.58491,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-06-01,879805.30326,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-07-01,853335.77158,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-08-01,851722.7591,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-09-01,865365.52675,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-10-01,863143.37989,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-11-01,893156.14191,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2023-12-01,975918.69859,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-01-01,915931.16091,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-02-01,911688.55334,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-03-01,953824.19646,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-04-01,943291.77666,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-05-01,934143.87089,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-06-01,958575.35674,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-07-01,939540.902224184,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-08-01,954378.28936,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-09-01,957149.862,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-10-01,970130.9395521958,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-11-01,1002040.4671508978,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2024-12-01,1062794.71516158,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-01-01,1010242.5457,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-02-01,1008991.5377,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-03-01,1088916.1909,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-04-01,1025259.2285,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-05-01,1033652.9874,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-06-01,1039226.5811,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-07-01,1042743.2844,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-08-01,1082404.6987,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-09-01,1095877.1541,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-10-01,1108930.7101,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-11-01,1148382.2527,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2025-12-01,1214763.637,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2026-01-01,1156846.7184,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2026-02-01,1159800.0482,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2026-03-01,1206116.3638,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2026-04-01,1186499.5918,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2026-05-01,1205707.4927,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2026-06-01,1204064.6854,IDR billion
bi_payment_system.currency_in_circulation,0000,Indonesia (national),2026-07-01,1213089.7117,IDR billion
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2012-03-01,4.226509252871415,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2012-06-01,4.515291269181112,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2012-09-01,4.547635860628958,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2012-12-01,5.103708118123132,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2013-03-01,4.491891245739153,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2013-06-01,4.6096183306711325,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2013-09-01,4.705488501161358,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2013-12-01,5.237935692082261,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2014-03-01,4.56713828745559,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2014-06-01,4.605624102671584,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2014-09-01,4.579883092139907,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2014-12-01,5.000492397834403,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2015-03-01,4.286792956786758,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2015-06-01,4.588403357433834,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2015-09-01,4.593037625738631,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2015-12-01,5.090626482691877,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2016-03-01,4.3364143541374425,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2016-06-01,5.380020986156267,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2016-09-01,4.636446973428039,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2016-12-01,4.939188194613355,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2017-03-01,4.431014022621464,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2017-06-01,5.537785362981293,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2017-09-01,4.622675181874084,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2017-12-01,5.113849694233828,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2018-03-01,4.60274424295652,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2018-06-01,5.1293247785769776,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2018-09-01,4.679445628809723,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2018-12-01,5.049196183508435,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2019-03-01,4.476136381925254,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2019-06-01,4.729944819259656,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2019-09-01,4.553476308558022,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2019-12-01,5.013224438409492,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2020-03-01,4.553352016743249,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2020-06-01,4.744584291023758,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2020-09-01,4.9072785466774445,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2020-12-01,5.820433932703165,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2021-03-01,5.051915974071242,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2021-06-01,5.208914691414179,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2021-09-01,5.12951142671564,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2021-12-01,5.653706374860759,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2022-03-01,5.089019886594884,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2022-06-01,5.004785009632133,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2022-09-01,4.774376204528978,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2022-12-01,5.240341632289527,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2023-03-01,4.708407346128235,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2023-06-01,4.845723574891938,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2023-09-01,4.644391902722816,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2023-12-01,5.273442770156446,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2024-03-01,5.085806521932391,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2024-06-01,4.937905961603809,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2024-09-01,4.857726986524765,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2024-12-01,5.4407983037595296,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2025-03-01,5.507630475953137,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2025-06-01,5.029236915444718,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2025-09-01,5.139865181595668,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2025-12-01,5.708951029414103,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2026-03-01,5.532190952715085,percent
bi_payment_system.currency_to_gdp,0000,Indonesia (national),2026-06-01,5.270401700233903,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2012-03-01,7.773277020125264,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2012-06-01,8.291235046019874,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2012-09-01,8.278436182149147,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2012-12-01,9.2208831384387,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2013-03-01,8.067007152239091,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2013-06-01,8.245277048229168,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2013-09-01,8.416208725679954,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2013-12-01,9.396957820187714,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2014-03-01,8.18774695085121,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2014-06-01,8.261921005074864,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2014-09-01,8.241276181815659,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2014-12-01,8.935248600075523,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2015-03-01,7.6339180137625435,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2015-06-01,8.15426324225712,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2015-09-01,8.132923228141596,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2015-12-01,9.03973049307215,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2016-03-01,7.6736999917691895,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2016-06-01,9.497586003295297,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2016-09-01,8.171401283466995,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2016-12-01,8.71698684025239,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2017-03-01,7.84841455634014,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2017-06-01,9.82830707441035,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2017-09-01,8.221107408546011,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2017-12-01,9.109444685595351,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2018-03-01,8.20396201559759,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2018-06-01,9.162513270020343,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2018-09-01,8.38769433960148,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2018-12-01,9.0591243460733,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2019-03-01,8.021902066546447,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2019-06-01,8.454644207142303,percent
bi_payment_system.currency_to_household_consumption,0000,Indonesia (national),2019-09-01,8.086491917985093,percent
